Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
58,Ke'Shawn Vaughn,9,16,1.8,8,0,0,1,1,3,3.0,0,0,1,2.9,2.9,0.0%,SF,4,2023
59,Damien Harris,6,29,4.8,8,0,0,0,0,0,0.0,0,0,1,2.9,2.9,9.0%,FA,4,2023
60,Dalvin Cook,5,16,3.2,5,0,0,1,1,2,2.0,0,0,1,2.8,2.8,12.7%,DAL,4,2023
61,Rico Dowdle,3,9,3.0,9,0,0,1,1,8,8.0,0,0,1,2.7,2.7,41.2%,DAL,4,2023
62,Roschon Johnson,5,13,2.6,7,0,0,1,1,2,2.0,0,0,1,2.5,2.5,2.9%,CHI,4,2023
63,Patrick Ricard,0,0,0.0,0,0,0,1,1,14,14.0,0,0,1,2.4,2.4,0.1%,BAL,4,2023
64,Aaron Jones,5,18,3.6,9,0,0,1,2,-4,-4.0,0,0,1,2.4,2.4,96.1%,MIN,4,2023
65,Clyde Edwards-Helaire,3,12,4.0,9,0,0,1,1,1,1.0,0,0,1,2.3,2.3,7.3%,KC,4,2023
66,Jakob Johnson,0,0,0.0,0,0,0,1,2,12,12.0,0,0,1,2.2,2.2,0.0%,FA,4,2023
67,Tyler Allgeier,7,16,2.3,9,0,0,1,2,-4,-4.0,0,0,1,2.2,2.2,48.2%,ATL,4,2023
68,Deuce Vaughn,8,9,1.1,3,0,0,1,1,2,2.0,0,0,1,2.1,2.1,1.0%,DAL,4,2023
69,Kendre Miller,1,3,3.0,3,0,0,1,1,5,5.0,0,0,1,1.8,1.8,15.5%,NO,4,2023
70,Kyle Juszczyk,2,3,1.5,3,0,0,1,1,4,4.0,0,0,1,1.7,1.7,0.6%,SF,4,2023
71,Zamir White,3,15,5.0,11,0,0,0,0,0,0.0,0,0,1,1.5,1.5,93.2%,LV,4,2023
72,Kareem Hunt,5,12,2.4,6,0,0,0,0,0,0.0,0,0,1,1.2,1.2,0.2%,FA,4,2023
73,AJ Dillon,5,11,2.2,6,0,0,0,1,0,0.0,0,0,1,1.1,1.1,1.9%,GB,4,2023
74,Tank Bigsby,3,10,3.3,6,0,0,0,0,0,0.0,0,0,1,1.0,1.0,4.9%,JAC,4,2023
75,Jerick McKinnon,3,7,2.3,3,0,0,0,1,0,0.0,0,0,1,0.7,0.7,0.1%,FA,4,2023
76,Chase Brown,0,0,0.0,0,0,0,1,1,-3,-3.0,0,0,1,0.7,0.7,80.4%,CIN,4,2023
77,Trey Sermon,3,7,2.3,4,0,0,0,0,0,0.0,0,0,1,0.7,0.7,1.0%,IND,4,2023
78,Mike Boone,1,4,4.0,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0%,CAR,4,2023
79,Trayveon Williams,1,4,4.0,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.3%,CIN,4,2023
80,J.J. Taylor,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,HOU,4,2023
81,Darrynton Evans,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,BUF,4,2023
82,La'Mical Perine,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,GB,4,2023
83,J.K. Dobbins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,61.0%,LAC,4,2023
84,Jonathan Taylor,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,99.9%,IND,4,2023
85,Derrick Gore,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,4,2023
86,Salvon Ahmed,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,4,2023
87,Craig Reynolds,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.3%,DET,4,2023
88,JaMycal Hasty,0,0,0.0,0,0,0,0,2,0,0.0,0,0,1,0.0,0.0,0.2%,NE,4,2023
89,Patrick Taylor Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,SF,4,2023
90,DeeJay Dallas,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.1%,ARI,4,2023
91,Tony Jones Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,4,2023
92,Ty Chandler,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,43.5%,MIN,4,2023
93,Mike Weber,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NYG,4,2023
94,Travis Homer,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,CHI,4,2023
95,Ty Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.9%,BUF,4,2023
96,Khari Blasingame,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,CHI,4,2023
97,Andrew Beck,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.0%,GB,4,2023
98,Jaret Patterson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,LAC,4,2023
99,Reggie Gilliam,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,BUF,4,2023
100,Jonathan Ward,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,PIT,4,2023
101,Raheem Blackshear,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2%,CAR,4,2023
102,Jermar Jefferson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,DET,4,2023
103,Trey Benson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,64.0%,ARI,4,2023
104,Keaton Mitchell,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,8.5%,BAL,4,2023
105,Xazavian Valladay,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NYJ,4,2023
106,Kenny McIntosh,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.3%,SEA,4,2023
107,Evan Hull,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2%,IND,4,2023
108,Jack Colletto,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,PIT,4,2023
109,Elijah Dotson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,4,2023
110,Carlos Washington Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,ATL,4,2023
111,Jabari Small,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,TEN,4,2023
112,Troy Hairston II,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,HOU,4,2023
113,Tyreik McAllister,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,LV,4,2023
114,Julius Chestnut,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2%,TEN,4,2023
115,Carson Steele,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,2.5%,KC,4,2023
116,Dante Miller,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NYG,4,2023
117,Louis Rees-Zammit,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.3%,JAC,4,2023
118,Isaac Guerendo,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0%,SF,4,2023
119,Blake Watson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,DEN,4,2023
120,Michael Wiley,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,WAS,4,2023
121,Jacob Kibodi,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NO,4,2023
122,Kimani Vidal,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.5%,LAC,4,2023
123,Emani Bailey,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,KC,4,2023
124,Jawhar Jordan,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,HOU,4,2023
